"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone","scenario"
229,977.45,20177.8,10508.45,11206.33,10415.61,29.4595756995974,12575.3943,426.869498333333,12.8655115862704,0.0777271850632946,1,"NewCa W","Study Area","tp3_bau_2050_121520"
226,1036.02,20046.36,10353.53,11154.06,10296.61,28.6398448574335,12722.4231,444.22109,12.2800941101523,0.0814326006812334,1,"NewCa E","Study Area","tp3_bau_2050_121520"
238,1116.69,28243.78,15606.24,17097.25,15548.72,30.1156728328704,13493.4801,448.055076666667,12.0834610321575,0.0827577460910177,1,"NewCa E","Study Area","tp3_bau_2050_121520"
158,1118.04,40894.02,23845.99,26904.14,23695.46,28.736917049571,18663.4121,649.457701666667,16.692973507209,0.0599054446212437,1,"NewCa W","Study Area","tp3_bau_2050_121520"
222,1448.42,27420,14819.66,15891.04,14750.96,29.0071004035774,18765.4923,646.927546666667,12.955836221538,0.0771852918561588,1,"NewCa W","Study Area","tp3_bau_2050_121520"
318,1519.54,30434.49,17173.96,17815.79,17120.64,30.6536065435652,18064.2812,589.303616666667,11.887993208471,0.0841184868180639,1,"NewCa W","Study Area","tp3_bau_2050_121520"
164,1528.19,41292.9,24178.07,25910.65,23986.99,31.8593039224813,20851.867,654.498511666667,13.6448131449623,0.0732879218920781,1,"NewCa E","Study Area","tp3_bau_2050_121520"
142,1596.39,43198.23,25623.56,27024.44,25547.28,32.9628599528289,23128.0276,701.638985,14.4877051347102,0.0690240442293488,1,"NewCa W","Study Area","tp3_bau_2050_121520"
154,1908.16,44487.18,25824.35,27818.09,25750.11,30.5645582322743,27735.6125,907.443591666667,14.5352656485829,0.0687981922158741,1,"NewCa W","Study Area","tp3_bau_2050_121520"
152,2668.58,47331.12,27326.11,29638.81,27149.47,29.9393329865819,36710.9479,1226.17788166667,13.7567350051338,0.0726916669999687,1,"NewCa W","Study Area","tp3_bau_2050_121520"
