"F_TAZ","T_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT"
14,227,0.26,10.78,8.64,10.78,8.64,48.0890538033395,2.2464,0.0467133333333333
14,228,0.06,8.76,7.28,8.76,7.28,49.8630136986301,0.4368,0.00876
14,229,0.26,11.25,9.67,11.25,9.67,51.5733333333333,2.5142,0.04875
14,237,0.09,13.68,10.99,13.68,10.99,48.2017543859649,0.9891,0.02052
14,238,0.35,11.07,8.83,11.07,8.83,47.8590785907859,3.0905,0.064575
14,318,0.89,9.04,7.64,9.04,7.64,50.7079646017699,6.7996,0.134093333333333
14,327,1.11,14.07,11.8,14.07,11.8,50.319829424307,13.098,0.260295
14,344,0.44,11.71,9.86,11.71,9.86,50.5209222886422,4.3384,0.0858733333333333
14,345,0.08,11.33,9.11,11.33,9.11,48.243601059135,0.7288,0.0151066666666667
15,142,0.09,12.16,7.88,12.16,7.88,38.8815789473684,0.7092,0.01824
15,149,0.35,8.24,7.05,8.24,7.05,51.3349514563107,2.4675,0.0480666666666667
15,150,0.01,9.04,7.52,9.04,7.52,49.9115044247788,0.0752,0.00150666666666667
15,151,0.53,9.76,7.94,9.76,7.94,48.8114754098361,4.2082,0.0862133333333333
15,152,0.17,11.55,9.62,11.55,9.62,49.974025974026,1.6354,0.032725
15,154,0.38,10.66,9.35,10.66,9.35,52.6266416510319,3.553,0.0675133333333333
15,155,0.03,12.31,10.47,12.31,10.47,51.0316815597076,0.3141,0.006155
15,158,0.03,13.78,11.59,13.78,11.59,50.4644412191582,0.3477,0.00689
15,164,0.18,10.88,7.9,10.88,7.9,43.5661764705882,1.422,0.03264
15,222,0.14,10.12,8.35,10.12,8.35,49.5059288537549,1.169,0.0236133333333333
